date,treatment,tunnel,fruit_weight(g),firmness,acidity(meq/100g),brix(Bx%),ratio acidity/Bx
27/05/2025,shaded,S1,39,,11.67,6.8,0.58269066
27/05/2025,shaded,S1,22.4,,11.67,6.8,0.58269066
27/05/2025,shaded,S1,20.9,,11.67,6.8,0.58269066
27/05/2025,shaded,S1,47.5,,11.67,6.8,0.58269066
27/05/2025,shaded,S1,43.6,,11.67,6.8,0.58269066
27/05/2025,shaded,S1,37.1,,11.67,6.8,0.58269066
27/05/2025,shaded,S1,35.1,,11.67,6.8,0.58269066
27/05/2025,shaded,S1,20.4,,11.67,6.8,0.58269066
27/05/2025,shaded,S1,54.7,,11.67,6.8,0.58269066
27/05/2025,shaded,S1,62.3,,11.67,6.8,0.58269066
27/05/2025,shaded,S1,52,,11.67,6.8,0.58269066
27/05/2025,shaded,S1,17.2,,11.67,6.8,0.58269066
27/05/2025,shaded,S1,22.3,,11.67,6.8,0.58269066
27/05/2025,shaded,S1,50.1,,11.67,6.8,0.58269066
27/05/2025,shaded,S1,44.7,,11.67,6.8,0.58269066
27/05/2025,shaded,S1,23.5,,11.67,6.8,0.58269066
27/05/2025,shaded,S1,33.5,,11.67,6.8,0.58269066
27/05/2025,shaded,S1,49,,11.67,6.8,0.58269066
27/05/2025,shaded,S1,44.2,,11.67,6.8,0.58269066
27/05/2025,shaded,S1,45.3,,11.67,6.8,0.58269066
27/05/2025,shaded,S1,39,,11.67,6.8,0.58269066
27/05/2025,shaded,S1,33.7,,11.67,6.8,0.58269066
27/05/2025,shaded,S1,13.8,,11.67,6.8,0.58269066
27/05/2025,shaded,S1,25.7,,11.67,6.8,0.58269066
27/05/2025,shaded,S1,19.6,,11.67,6.8,0.58269066
27/05/2025,shaded,S1,33.2,,11.67,6.8,0.58269066
27/05/2025,shaded,S1,37.5,,11.67,6.8,0.58269066
27/05/2025,shaded,S1,43.3,,11.67,6.8,0.58269066
27/05/2025,shaded,S1,23,,11.67,6.8,0.58269066
27/05/2025,shaded,S1,34,,11.67,6.8,0.58269066
27/05/2025,shaded,S1,36.6,,11.67,6.8,0.58269066
27/05/2025,shaded,S1,35.1,,11.67,6.8,0.58269066
27/05/2025,shaded,S1,23.2,,11.67,6.8,0.58269066
27/05/2025,shaded,S1,33.9,,11.67,6.8,0.58269066
27/05/2025,shaded,S1,23.1,,11.67,6.8,0.58269066
27/05/2025,shaded,S2,28.5,,11.35,7.2,0.634361233
27/05/2025,shaded,S2,23,,11.35,7.2,0.634361233
27/05/2025,shaded,S2,20.4,,11.35,7.2,0.634361233
27/05/2025,shaded,S2,41.1,,11.35,7.2,0.634361233
27/05/2025,shaded,S2,27.9,,11.35,7.2,0.634361233
27/05/2025,shaded,S2,21.9,,11.35,7.2,0.634361233
27/05/2025,shaded,S2,29.6,,11.35,7.2,0.634361233
27/05/2025,shaded,S2,21.3,,11.35,7.2,0.634361233
27/05/2025,shaded,S2,40,,11.35,7.2,0.634361233
27/05/2025,shaded,S2,49.6,,11.35,7.2,0.634361233
27/05/2025,shaded,S2,46.8,,11.35,7.2,0.634361233
27/05/2025,shaded,S2,41.5,,11.35,7.2,0.634361233
27/05/2025,shaded,S2,22,,11.35,7.2,0.634361233
27/05/2025,shaded,S2,22.7,,11.35,7.2,0.634361233
27/05/2025,shaded,S2,20.6,,11.35,7.2,0.634361233
27/05/2025,shaded,S2,24.2,,11.35,7.2,0.634361233
27/05/2025,shaded,S2,31.6,,11.35,7.2,0.634361233
27/05/2025,shaded,S2,35.1,,11.35,7.2,0.634361233
27/05/2025,shaded,S2,26,,11.35,7.2,0.634361233
27/05/2025,shaded,S2,26.1,,11.35,7.2,0.634361233
27/05/2025,shaded,S2,27.1,,11.35,7.2,0.634361233
27/05/2025,shaded,S2,31.9,,11.35,7.2,0.634361233
27/05/2025,shaded,S2,30.5,,11.35,7.2,0.634361233
27/05/2025,shaded,S2,9.5,,11.35,7.2,0.634361233
27/05/2025,shaded,S2,29.2,,11.35,7.2,0.634361233
27/05/2025,shaded,S2,27,,11.35,7.2,0.634361233
27/05/2025,shaded,S2,29.2,,11.35,7.2,0.634361233
27/05/2025,shaded,S2,25.8,,11.35,7.2,0.634361233
27/05/2025,shaded,S2,37.7,,11.35,7.2,0.634361233
27/05/2025,shaded,S2,41.6,,11.35,7.2,0.634361233
27/05/2025,shaded,S2,24.2,,11.35,7.2,0.634361233
27/05/2025,shaded,S2,25.1,,11.35,7.2,0.634361233
27/05/2025,shaded,S2,24.7,,11.35,7.2,0.634361233
27/05/2025,shaded,S2,42.6,,11.35,7.2,0.634361233
27/05/2025,shaded,S2,51.2,,11.35,7.2,0.634361233
27/05/2025,shaded,S2,38.4,,11.35,7.2,0.634361233
27/05/2025,shaded,S2,22.3,,11.35,7.2,0.634361233
27/05/2025,shaded,S2,45.5,,11.35,7.2,0.634361233
27/05/2025,shaded,S2,18.2,,11.35,7.2,0.634361233
27/05/2025,shaded,S2,21.9,,11.35,7.2,0.634361233
27/05/2025,shaded,S2,29.2,,11.35,7.2,0.634361233
27/05/2025,shaded,S2,23.8,,11.35,7.2,0.634361233
27/05/2025,shaded,S2,36.5,,11.35,7.2,0.634361233
27/05/2025,shaded,S2,49.3,,11.35,7.2,0.634361233
27/05/2025,shaded,S2,27.1,,11.35,7.2,0.634361233
27/05/2025,shaded,S2,40,,11.35,7.2,0.634361233
27/05/2025,shaded,S2,24.5,,11.35,7.2,0.634361233
27/05/2025,shaded,S2,28.9,,11.35,7.2,0.634361233
27/05/2025,shaded,S2,27.9,,11.35,7.2,0.634361233
27/05/2025,shaded,S2,24.4,,11.35,7.2,0.634361233
27/05/2025,shaded,S2,43.6,,11.35,7.2,0.634361233
27/05/2025,shaded,S2,28.4,,11.35,7.2,0.634361233
27/05/2025,shaded,S2,21.2,,11.35,7.2,0.634361233
27/05/2025,shaded,S2,22.6,,11.35,7.2,0.634361233
27/05/2025,shaded,S2,51.5,,11.35,7.2,0.634361233
27/05/2025,shaded,S2,44.9,,11.35,7.2,0.634361233
27/05/2025,shaded,S2,23.8,,11.35,7.2,0.634361233
27/05/2025,shaded,S2,46.5,,11.35,7.2,0.634361233
27/05/2025,shaded,S2,24.8,,11.35,7.2,0.634361233
27/05/2025,shaded,S2,38.9,,11.35,7.2,0.634361233
27/05/2025,shaded,S2,37.5,,11.35,7.2,0.634361233
27/05/2025,shaded,S2,40.1,,11.35,7.2,0.634361233
27/05/2025,shaded,S2,25.6,,11.35,7.2,0.634361233
27/05/2025,shaded,S2,23.9,,11.35,7.2,0.634361233
27/05/2025,shaded,S3,42.1,,12.22,7.3,0.597381342
27/05/2025,shaded,S3,54.8,,12.22,7.3,0.597381342
27/05/2025,shaded,S3,26,,12.22,7.3,0.597381342
27/05/2025,shaded,S3,23,,12.22,7.3,0.597381342
27/05/2025,shaded,S3,46.7,,12.22,7.3,0.597381342
27/05/2025,shaded,S3,30.5,,12.22,7.3,0.597381342
27/05/2025,shaded,S3,27,,12.22,7.3,0.597381342
27/05/2025,shaded,S3,47,,12.22,7.3,0.597381342
27/05/2025,shaded,S3,29.4,,12.22,7.3,0.597381342
27/05/2025,shaded,S3,22.6,,12.22,7.3,0.597381342
27/05/2025,shaded,S3,33.8,,12.22,7.3,0.597381342
27/05/2025,shaded,S3,27.1,,12.22,7.3,0.597381342
27/05/2025,shaded,S3,42.2,,12.22,7.3,0.597381342
27/05/2025,shaded,S3,18.5,,12.22,7.3,0.597381342
27/05/2025,shaded,S3,29.3,,12.22,7.3,0.597381342
27/05/2025,shaded,S3,17.8,,12.22,7.3,0.597381342
27/05/2025,shaded,S3,33.3,,12.22,7.3,0.597381342
27/05/2025,shaded,S3,29,,12.22,7.3,0.597381342
27/05/2025,shaded,S3,15.2,,12.22,7.3,0.597381342
27/05/2025,shaded,S3,19.1,,12.22,7.3,0.597381342
27/05/2025,shaded,S3,50.5,,12.22,7.3,0.597381342
27/05/2025,shaded,S3,21.1,,12.22,7.3,0.597381342
27/05/2025,shaded,S3,44.3,,12.22,7.3,0.597381342
27/05/2025,shaded,S3,31.5,,12.22,7.3,0.597381342
27/05/2025,shaded,S3,34.3,,12.22,7.3,0.597381342
27/05/2025,shaded,S3,45.4,,12.22,7.3,0.597381342
27/05/2025,shaded,S3,44.3,,12.22,7.3,0.597381342
27/05/2025,shaded,S3,21.8,,12.22,7.3,0.597381342
27/05/2025,shaded,S3,24.8,,12.22,7.3,0.597381342
27/05/2025,shaded,S3,24.8,,12.22,7.3,0.597381342
27/05/2025,shaded,S3,44.5,,12.22,7.3,0.597381342
27/05/2025,shaded,S3,47.3,,12.22,7.3,0.597381342
27/05/2025,shaded,S3,48.1,,12.22,7.3,0.597381342
27/05/2025,shaded,S3,24.3,,12.22,7.3,0.597381342
27/05/2025,shaded,S3,26.7,,12.22,7.3,0.597381342
27/05/2025,shaded,S3,25.5,,12.22,7.3,0.597381342
27/05/2025,shaded,S3,27,,12.22,7.3,0.597381342
27/05/2025,shaded,S3,25.8,,12.22,7.3,0.597381342
27/05/2025,shaded,S3,20.6,,12.22,7.3,0.597381342
27/05/2025,shaded,S3,30.6,,12.22,7.3,0.597381342
27/05/2025,shaded,S3,29,,12.22,7.3,0.597381342
27/05/2025,shaded,S3,60.6,,12.22,7.3,0.597381342
27/05/2025,shaded,S3,55,,12.22,7.3,0.597381342
27/05/2025,shaded,S3,32.5,,12.22,7.3,0.597381342
27/05/2025,shaded,S3,39,,12.22,7.3,0.597381342
27/05/2025,shaded,S3,50.7,,12.22,7.3,0.597381342
27/05/2025,shaded,S3,35.4,,12.22,7.3,0.597381342
27/05/2025,shaded,S3,48,,12.22,7.3,0.597381342
27/05/2025,shaded,S3,59.8,,12.22,7.3,0.597381342
27/05/2025,shaded,S3,36.3,,12.22,7.3,0.597381342
27/05/2025,shaded,S3,20.7,,12.22,7.3,0.597381342
27/05/2025,control,C1,22.4,,12.4,7.6,0.612903226
27/05/2025,control,C1,23.6,,12.4,7.6,0.612903226
27/05/2025,control,C1,28.6,,12.4,7.6,0.612903226
27/05/2025,control,C1,33.6,,12.4,7.6,0.612903226
27/05/2025,control,C1,18.3,,12.4,7.6,0.612903226
27/05/2025,control,C1,23,,12.4,7.6,0.612903226
27/05/2025,control,C1,19.3,,12.4,7.6,0.612903226
27/05/2025,control,C1,18.3,,12.4,7.6,0.612903226
27/05/2025,control,C1,14.2,,12.4,7.6,0.612903226
27/05/2025,control,C1,18,,12.4,7.6,0.612903226
27/05/2025,control,C1,17.3,,12.4,7.6,0.612903226
27/05/2025,control,C1,12.6,,12.4,7.6,0.612903226
27/05/2025,control,C1,19.2,,12.4,7.6,0.612903226
27/05/2025,control,C1,38.7,,12.4,7.6,0.612903226
27/05/2025,control,C1,25.3,,12.4,7.6,0.612903226
27/05/2025,control,C1,33.3,,12.4,7.6,0.612903226
27/05/2025,control,C1,35.3,,12.4,7.6,0.612903226
27/05/2025,control,C1,19.4,,12.4,7.6,0.612903226
27/05/2025,control,C1,23.1,,12.4,7.6,0.612903226
27/05/2025,control,C1,16.4,,12.4,7.6,0.612903226
27/05/2025,control,C1,35.3,,12.4,7.6,0.612903226
27/05/2025,control,C1,37.9,,12.4,7.6,0.612903226
27/05/2025,control,C1,26.1,,12.4,7.6,0.612903226
27/05/2025,control,C1,29.8,,12.4,7.6,0.612903226
27/05/2025,control,C1,40.6,,12.4,7.6,0.612903226
27/05/2025,control,C1,20.2,,12.4,7.6,0.612903226
27/05/2025,control,C1,45.2,,12.4,7.6,0.612903226
27/05/2025,control,C1,31.3,,12.4,7.6,0.612903226
27/05/2025,control,C1,20.8,,12.4,7.6,0.612903226
27/05/2025,control,C1,33.3,,12.4,7.6,0.612903226
27/05/2025,control,C1,21.2,,12.4,7.6,0.612903226
27/05/2025,control,C1,20.8,,12.4,7.6,0.612903226
27/05/2025,control,C1,30.4,,12.4,7.6,0.612903226
27/05/2025,control,C1,23.7,,12.4,7.6,0.612903226
27/05/2025,control,C1,45.1,,12.4,7.6,0.612903226
27/05/2025,control,C1,31.6,,12.4,7.6,0.612903226
27/05/2025,control,C1,18.9,,12.4,7.6,0.612903226
27/05/2025,control,C1,42.1,,12.4,7.6,0.612903226
27/05/2025,control,C1,12.8,,12.4,7.6,0.612903226
27/05/2025,control,C1,21.2,,12.4,7.6,0.612903226
