receivedAt,Unnamed: 0_mean,Unnamed: 0_std,dewpoint_mean_mean,dewpoint_mean_std,temperature_mean_mean,temperature_mean_std,humidity_mean_mean,humidity_mean_std,vaporPressureDeficit_mean_mean,vaporPressureDeficit_mean_std,dewpoint_max_mean,dewpoint_max_std,temperature_max_mean,temperature_max_std,humidity_max_mean,humidity_max_std,vaporPressureDeficit_max_mean,vaporPressureDeficit_max_std,dewpoint_min_mean,dewpoint_min_std,temperature_min_mean,temperature_min_std,humidity_min_mean,humidity_min_std,vaporPressureDeficit_min_mean,vaporPressureDeficit_min_std,t_above_threshold_mean,t_above_threshold_std,photosyntheticallyActiveRadiation_mean_mean
2024-07-03 12:00:00+00:00,62.0,,16.033333333333335,,24.133333333333336,,60.63333333333333,,1.1833333333333331,,16.3,,24.6,,63.0,,1.31,,15.7,,23.8,,57.6,,1.09,,0.0,,380.8666666666666
2024-07-03 13:00:00+00:00,63.0,,16.7,,25.1,,59.76666666666667,,1.2833333333333332,,17.2,,25.6,,61.5,,1.43,,16.3,,24.5,,56.4,,1.18,,0.0,,443.1
2024-07-03 14:00:00+00:00,64.0,,16.900000000000002,,23.83333333333333,,65.10000000000001,,1.0333333333333334,,17.8,,24.8,,67.2,,1.1,,15.9,,23.3,,63.1,,0.94,,0.0,,320.1
2024-07-03 15:00:00+00:00,65.0,,15.566666666666668,,21.633333333333336,,68.53333333333333,,0.8166666666666668,,15.8,,22.4,,71.8,,0.91,,15.1,,21.1,,66.3,,0.71,,0.0,,114.43333333333334
2024-07-03 16:00:00+00:00,66.0,,15.266666666666666,,19.23333333333333,,77.96666666666667,,0.4933333333333333,,15.5,,20.1,,81.7,,0.61,,15.0,,18.7,,74.2,,0.39,,0.0,,41.65
2024-07-03 17:00:00+00:00,67.0,,15.133333333333333,,17.5,,86.03333333333335,,0.28,,15.3,,18.0,,88.0,,0.33,,14.9,,17.2,,83.8,,0.24,,0.0,,34.166666666666664
2024-07-03 18:00:00+00:00,68.0,,15.1,,16.666666666666668,,90.46666666666664,,0.18,,15.3,,17.0,,91.5,,0.2,,14.9,,16.5,,89.6,,0.16,,0.0,,7.933333333333334
2024-07-03 19:00:00+00:00,69.0,,14.733333333333334,,16.033333333333335,,92.1,,0.1433333333333333,,14.8,,16.2,,92.7,,0.16,,14.6,,15.8,,91.5,,0.13,,0.0,,0.0
2024-07-03 20:00:00+00:00,70.0,,14.266666666666666,,15.433333333333332,,92.9,,0.1233333333333333,,14.6,,15.7,,93.5,,0.14,,13.9,,15.2,,92.1,,0.11,,0.0,,0.0
2024-07-03 21:00:00+00:00,71.0,,13.866666666666667,,15.0,,93.03333333333336,,0.12,,14.0,,15.2,,93.3,,0.13,,13.7,,14.8,,92.7,,0.11,,0.0,,0.0
2024-07-03 22:00:00+00:00,72.0,,13.833333333333334,,14.800000000000002,,94.2,,0.0966666666666666,,13.9,,14.8,,94.7,,0.11,,13.7,,14.8,,93.4,,0.09,,0.0,,0.0
2024-07-03 23:00:00+00:00,73.0,,13.933333333333332,,14.8,,94.59999999999998,,0.09,,14.3,,15.1,,95.1,,0.1,,13.7,,14.6,,94.1,,0.08,,0.0,,0.0
2024-07-04 00:00:00+00:00,74.0,,13.466666666666669,,14.2,,95.3,,0.0733333333333333,,13.8,,14.5,,95.6,,0.08,,13.1,,13.9,,94.9,,0.07,,0.0,,0.0
2024-07-04 01:00:00+00:00,75.0,,13.5,,14.233333333333334,,95.33333333333331,,0.0733333333333333,,13.6,,14.3,,95.5,,0.08,,13.4,,14.2,,95.0,,0.07,,0.0,,0.0
2024-07-04 02:00:00+00:00,76.0,,13.5,,14.2,,95.43333333333334,,0.0733333333333333,,13.7,,14.4,,95.6,,0.08,,13.4,,14.1,,95.3,,0.07,,0.0,,0.0
2024-07-04 03:00:00+00:00,77.0,,13.133333333333333,,14.133333333333333,,93.83333333333331,,0.1,,13.2,,14.2,,94.0,,0.1,,13.1,,14.1,,93.7,,0.1,,0.0,,3.633333333333333
2024-07-04 04:00:00+00:00,78.0,,13.3,,14.566666666666668,,92.16666666666669,,0.13,,13.4,,14.7,,93.0,,0.15,,13.2,,14.5,,90.9,,0.12,,0.0,,34.46666666666667
2024-07-04 05:00:00+00:00,79.0,,13.766666666666666,,16.366666666666667,,84.8,,0.29,,14.2,,17.1,,89.7,,0.37,,13.3,,15.0,,81.1,,0.18,,0.0,,165.4
2024-07-04 06:00:00+00:00,80.0,,14.633333333333333,,21.133333333333333,,66.73333333333333,,0.8466666666666667,,14.7,,22.6,,72.2,,1.07,,14.5,,19.9,,61.1,,0.65,,0.0,,377.8333333333333
2024-07-04 07:00:00+00:00,81.0,,14.833333333333334,,23.83333333333333,,57.16666666666666,,1.2666666666666666,,15.4,,24.2,,58.4,,1.32,,14.1,,23.2,,56.4,,1.23,,0.0,,676.5333333333333
2024-07-04 08:00:00+00:00,82.0,,15.4,,25.96666666666667,,52.26666666666667,,1.6,,16.2,,26.2,,55.6,,1.73,,14.7,,25.8,,49.1,,1.47,,0.0,,894.4666666666667
2024-07-04 09:00:00+00:00,83.0,,15.300000000000002,,28.1,,45.86666666666667,,2.066666666666667,,16.6,,29.2,,49.3,,2.37,,14.5,,26.9,,41.6,,1.89,,3.099999999999998,,1029.0666666666666
2024-07-04 10:00:00+00:00,84.0,,17.8,,29.633333333333336,,49.03333333333333,,2.1166666666666667,,19.2,,30.2,,51.9,,2.27,,16.5,,28.5,,47.1,,2.02,,4.633333333333336,,1100.1333333333332
2024-07-04 11:00:00+00:00,85.0,,17.066666666666666,,30.133333333333336,,45.36666666666667,,2.3366666666666664,,18.2,,31.0,,46.5,,2.41,,16.1,,29.5,,43.3,,2.21,,5.133333333333336,,1010.7333333333332
2024-07-04 12:00:00+00:00,86.0,,18.4,,33.13333333333333,,41.76666666666667,,2.95,,20.1,,34.3,,46.6,,3.14,,15.3,,32.4,,35.5,,2.64,,8.133333333333333,,836.4666666666667
2024-07-04 13:00:00+00:00,87.0,,17.266666666666666,,33.7,,37.76666666666667,,3.26,,19.4,,35.1,,41.9,,3.51,,14.4,,32.6,,31.7,,2.86,,8.699999999999996,,1148.05
2024-07-04 14:00:00+00:00,88.0,,17.566666666666666,,33.5,,38.63333333333333,,3.1733333333333333,,18.5,,34.1,,39.6,,3.23,,17.0,,33.0,,37.4,,3.07,,8.5,,842.5666666666667
2024-07-04 15:00:00+00:00,89.0,,16.133333333333336,,30.766666666666666,,41.9,,2.6633333333333336,,16.6,,34.4,,49.8,,3.57,,15.3,,26.7,,34.4,,1.76,,5.766666666666666,,536.8
2024-07-04 16:00:00+00:00,90.0,,16.96666666666667,,27.933333333333334,,51.7,,1.86,,17.3,,30.6,,60.4,,2.46,,16.6,,25.5,,44.0,,1.29,,2.9333333333333336,,436.4
2024-07-04 17:00:00+00:00,91.0,,16.933333333333334,,23.366666666666664,,67.16666666666667,,0.9466666666666668,,17.0,,24.1,,69.7,,1.07,,16.8,,22.6,,64.5,,0.83,,0.0,,101.6
2024-07-04 18:00:00+00:00,92.0,,15.8,,20.73333333333333,,73.53333333333333,,0.65,,16.2,,21.4,,74.5,,0.7,,15.3,,20.0,,72.6,,0.6,,0.0,,31.433333333333334
2024-07-04 19:00:00+00:00,93.0,,14.733333333333334,,18.266666666666666,,79.96666666666665,,0.4266666666666667,,14.9,,19.2,,82.6,,0.53,,14.4,,17.4,,76.3,,0.35,,0.0,,1.2333333333333334
2024-07-04 20:00:00+00:00,94.0,,14.266666666666666,,16.8,,85.16666666666667,,0.29,,14.7,,17.4,,89.5,,0.38,,14.0,,16.4,,81.1,,0.2,,0.0,,0.0
2024-07-04 21:00:00+00:00,95.0,,13.933333333333332,,15.733333333333334,,89.2,,0.1966666666666666,,14.1,,16.0,,90.5,,0.21,,13.8,,15.4,,88.4,,0.17,,0.0,,0.0
2024-07-04 22:00:00+00:00,96.0,,13.666666666666666,,14.966666666666669,,92.0,,0.1366666666666667,,13.8,,15.2,,92.4,,0.15,,13.5,,14.7,,91.5,,0.13,,0.0,,0.0
2024-07-04 23:00:00+00:00,97.0,,13.366666666666667,,14.4,,93.6,,0.1033333333333333,,13.4,,14.5,,93.9,,0.11,,13.3,,14.3,,93.3,,0.1,,0.0,,0.0
2024-07-05 00:00:00+00:00,98.0,,12.933333333333332,,13.866666666666667,,94.2,,0.0933333333333333,,13.3,,14.2,,94.4,,0.1,,12.7,,13.6,,93.9,,0.09,,0.0,,0.0
2024-07-05 01:00:00+00:00,99.0,,12.6,,13.366666666666667,,95.2,,0.0733333333333333,,12.7,,13.5,,95.4,,0.08,,12.5,,13.2,,95.0,,0.07,,0.0,,0.0
2024-07-05 02:00:00+00:00,100.0,,12.233333333333334,,12.9,,95.8,,0.06,,12.3,,13.0,,95.9,,0.06,,12.2,,12.8,,95.7,,0.06,,0.0,,0.0
2024-07-05 03:00:00+00:00,101.0,,12.166666666666666,,12.766666666666666,,96.23333333333332,,0.0533333333333333,,12.5,,13.1,,96.4,,0.06,,11.9,,12.5,,96.0,,0.05,,0.0,,9.166666666666666
2024-07-05 04:00:00+00:00,102.0,,13.3,,13.966666666666669,,95.83333333333331,,0.0666666666666666,,13.9,,14.6,,96.1,,0.07,,12.7,,13.3,,95.5,,0.06,,0.0,,61.36666666666667
2024-07-05 05:00:00+00:00,103.0,,14.666666666666666,,16.733333333333334,,87.86666666666667,,0.24,,15.1,,18.4,,93.2,,0.4,,14.2,,15.3,,81.3,,0.12,,0.0,,218.8
