,receivedAt,dewpoint_mean,temperature_mean,humidity_mean,vaporPressureDeficit_mean
977,2025-05-14 03:00:00+00:00,8.533333333333333,8.533333333333333,100.0,0.0
978,2025-05-14 04:00:00+00:00,10.066666666666668,10.5,97.23333333333333,0.03666666666666667
979,2025-05-14 05:00:00+00:00,11.700000000000001,14.1,85.83333333333333,0.22999999999999998
980,2025-05-14 06:00:00+00:00,13.700000000000001,19.666666666666668,69.63333333333333,0.77
981,2025-05-14 07:00:00+00:00,15.5,27.5,48.1,1.92
982,2025-05-14 08:00:00+00:00,16.566666666666666,30.399999999999995,43.53333333333333,2.453333333333333
983,2025-05-14 09:00:00+00:00,14.333333333333334,26.066666666666666,48.53333333333333,1.7666666666666668
984,2025-05-14 10:00:00+00:00,15.733333333333334,27.233333333333334,49.63333333333333,1.8333333333333333
985,2025-05-14 11:00:00+00:00,14.299999999999999,26.166666666666668,48.26666666666667,1.7566666666666666
986,2025-05-14 12:00:00+00:00,18.400000000000002,31.833333333333332,45.199999999999996,2.6033333333333335
987,2025-05-14 13:00:00+00:00,19.166666666666668,37.666666666666664,33.9,4.306666666666667
988,2025-05-14 14:00:00+00:00,17.933333333333334,35.766666666666666,34.9,3.8233333333333337
989,2025-05-14 15:00:00+00:00,15.4,28.599999999999998,45.333333333333336,2.2133333333333334
990,2025-05-14 16:00:00+00:00,14.233333333333334,29.066666666666666,40.46666666666667,2.44
991,2025-05-14 17:00:00+00:00,13.766666666666666,21.133333333333333,63.133333333333326,0.9333333333333332
992,2025-05-14 18:00:00+00:00,11.266666666666666,16.733333333333334,70.53333333333333,0.5666666666666667
993,2025-05-14 19:00:00+00:00,10.9,14.466666666666667,79.23333333333333,0.3433333333333333
994,2025-05-14 20:00:00+00:00,10.333333333333334,12.566666666666668,86.3,0.19999999999999998
995,2025-05-14 21:00:00+00:00,10.266666666666667,11.866666666666667,90.16666666666667,0.14
996,2025-05-14 22:00:00+00:00,10.1,10.933333333333332,94.46666666666665,0.07333333333333333
997,2025-05-14 23:00:00+00:00,9.966666666666667,10.466666666666667,96.83333333333333,0.04
998,2025-05-15 00:00:00+00:00,9.366666666666667,9.666666666666666,97.93333333333334,0.02666666666666667
999,2025-05-15 01:00:00+00:00,8.9,9.033333333333333,99.13333333333333,0.01
