,receivedAt,dewpoint_mean,temperature_mean,humidity_mean,vaporPressureDeficit_mean,dewpoint_max,temperature_max,humidity_max,vaporPressureDeficit_max,dewpoint_min,temperature_min,humidity_min,vaporPressureDeficit_min,temperature_daytime_mean,temperature_nighttime_mean,humidity_daytime_mean,humidity_nighttime_mean,vaporPressureDeficit_daytime_mean,vaporPressureDeficit_nighttime_mean
57,2025-05-30 00:00:00+00:00,15.673611111111112,22.480555555555554,70.93611111111112,1.3597222222222223,22.833333333333332,37.53333333333333,99.36666666666667,3.703333333333333,7.8999999999999995,8.0,39.0,0.01,30.064285714285713,11.863333333333333,52.9404761904762,96.13,2.283809523809524,0.066
58,2025-05-31 00:00:00+00:00,18.041666666666668,24.724999999999998,71.5,1.5052777777777777,25.633333333333336,39.53333333333333,100.0,3.92,11.1,11.1,43.46666666666667,0.0,32.21666666666666,14.236666666666668,53.78809523809524,96.29666666666667,2.527142857142857,0.07466666666666666
59,2025-06-01 00:00:00+00:00,19.568055555555556,24.241666666666664,77.91250000000001,0.9909722222222221,29.833333333333332,36.86666666666667,100.0,3.3733333333333335,12.6,12.6,45.833333333333336,0.0,29.926190476190477,16.283333333333335,67.67619047619048,92.24333333333333,1.5754761904761907,0.17266666666666666
60,2025-06-02 00:00:00+00:00,18.555555555555554,23.704166666666666,74.85972222222223,0.9391666666666666,22.7,34.13333333333333,94.93333333333334,2.6466666666666665,16.099999999999998,17.0,51.166666666666664,0.10333333333333333,27.51666666666667,18.366666666666667,64.11428571428571,89.90333333333334,1.4530952380952382,0.21966666666666668
61,2025-06-03 00:00:00+00:00,18.681944444444444,25.027777777777775,71.35277777777777,1.2941666666666667,24.3,38.63333333333333,95.93333333333334,3.86,14.766666666666666,16.666666666666668,41.86666666666667,0.08,30.14761904761905,17.86,57.86190476190476,90.24,2.0745238095238094,0.20166666666666666
62,2025-06-04 00:00:00+00:00,17.82638888888889,21.865277777777777,79.96805555555555,0.7116666666666666,22.866666666666664,33.6,97.23333333333333,2.4266666666666663,14.300000000000002,15.199999999999998,53.4,0.05333333333333334,25.559523809523807,16.693333333333335,70.76428571428572,92.85333333333332,1.1195238095238094,0.14066666666666666
63,2025-06-05 00:00:00+00:00,18.019444444444442,21.02638888888889,85.08333333333333,0.5533333333333333,23.53333333333333,33.300000000000004,100.0,2.28,15.733333333333334,15.733333333333334,56.73333333333333,0.0,24.207142857142856,16.573333333333334,75.96904761904761,97.84333333333333,0.9166666666666667,0.04466666666666667
64,2025-06-06 00:00:00+00:00,19.116666666666667,24.36111111111111,77.10138888888889,1.1580555555555556,24.266666666666666,36.266666666666666,100.0,3.2099999999999995,14.733333333333334,14.733333333333334,45.46666666666667,0.0,30.347619047619048,15.98,60.98571428571428,99.66333333333333,1.9802380952380951,0.006999999999999999
65,2025-06-07 00:00:00+00:00,19.741666666666667,23.209722222222222,83.08333333333333,0.7013888888888888,28.666666666666668,35.766666666666666,100.0,2.6666666666666665,14.033333333333333,14.033333333333333,53.63333333333333,0.0,27.626190476190477,17.026666666666667,75.0452380952381,94.33666666666667,1.110952380952381,0.128
66,2025-06-08 00:00:00+00:00,19.830555555555556,26.69027777777778,70.35138888888889,1.5780555555555555,24.099999999999998,39.86666666666667,97.10000000000001,4.3933333333333335,15.833333333333334,16.266666666666666,40.0,0.05333333333333334,32.81666666666667,18.113333333333333,54.89047619047619,91.99666666666667,2.5826190476190476,0.1716666666666667
67,2025-06-09 00:00:00+00:00,16.304166666666667,23.491666666666664,69.31388888888888,1.4306944444444445,23.366666666666664,37.6,98.03333333333335,3.9299999999999997,10.299999999999999,10.9,39.36666666666667,0.03,30.342857142857145,13.9,52.035714285714285,93.50333333333333,2.3742857142857146,0.10966666666666666
68,2025-06-10 00:00:00+00:00,18.627777777777776,25.138888888888886,72.35833333333333,1.4633333333333332,25.133333333333336,40.0,100.0,4.203333333333333,13.799999999999999,13.966666666666667,40.03333333333333,0.0,31.804761904761904,15.806666666666667,55.195238095238096,96.38666666666667,2.4576190476190476,0.07133333333333333
69,2025-06-11 00:00:00+00:00,20.524305555555554,25.693749999999998,77.90902777777778,1.2820138888888888,29.0,41.199999999999996,100.0,4.466666666666666,13.200000000000001,13.200000000000001,43.166666666666664,0.0,32.489285714285714,16.18,62.425000000000004,99.58666666666667,2.1905952380952383,0.010000000000000002
70,2025-06-12 00:00:00+00:00,20.575,26.258333333333336,75.83749999999999,1.3872222222222221,27.766666666666666,40.63333333333333,100.0,4.453333333333333,14.666666666666666,14.666666666666666,41.13333333333333,0.0,32.726190476190474,17.203333333333333,60.904761904761905,96.74333333333334,2.3264285714285715,0.07233333333333333
71,2025-06-13 00:00:00+00:00,21.28611111111111,28.061111111111114,70.85833333333333,1.7275,28.433333333333334,42.1,100.0,4.846666666666667,15.066666666666668,15.066666666666668,41.166666666666664,0.0,34.84761904761905,18.56,55.43095238095238,92.45666666666666,2.8238095238095235,0.19266666666666668
72,2025-06-14 00:00:00+00:00,20.522222222222222,25.813888888888886,76.40694444444445,1.2973611111111112,28.566666666666666,42.233333333333334,99.26666666666667,4.4366666666666665,14.933333333333332,16.3,46.6,0.013333333333333334,31.25952380952381,18.19,63.457142857142856,94.53666666666666,2.136904761904762,0.122
73,2025-06-15 00:00:00+00:00,20.46388888888889,27.852777777777778,68.29583333333333,1.7909722222222222,26.46666666666667,42.333333333333336,99.63333333333333,5.03,13.866666666666667,13.933333333333332,39.73333333333333,0.006666666666666667,34.59047619047619,18.419999999999998,53.114285714285714,89.55,2.876190476190476,0.27166666666666667
74,2025-06-16 00:00:00+00:00,18.070833333333333,20.541666666666668,87.2986111111111,0.42208333333333337,21.833333333333332,31.933333333333337,100.0,2.1766666666666663,15.966666666666667,16.0,55.56666666666667,0.0,22.754761904761903,17.443333333333335,80.1952380952381,97.24333333333333,0.6797619047619047,0.06133333333333333
75,2025-06-17 00:00:00+00:00,17.858333333333334,25.313888888888886,69.29444444444444,1.5956944444444445,22.03333333333333,39.666666666666664,100.0,4.616666666666667,14.366666666666667,14.866666666666667,36.300000000000004,0.0,31.885714285714283,16.113333333333333,50.09047619047619,96.17999999999999,2.6811904761904763,0.076
76,2025-06-18 00:00:00+00:00,18.693055555555556,26.498611111111114,67.8638888888889,1.8359722222222221,24.433333333333334,42.06666666666667,99.83333333333333,5.276666666666666,13.0,13.0,35.93333333333334,0.0,34.147619047619045,15.790000000000001,48.75,94.62333333333333,3.0664285714285713,0.11333333333333333
77,2025-06-19 00:00:00+00:00,20.134027777777778,28.534722222222225,67.10833333333333,2.2195833333333335,25.900000000000002,46.56666666666666,99.16666666666667,7.109999999999999,13.866666666666667,14.0,30.666666666666668,0.013333333333333334,36.304761904761904,17.656666666666666,47.48809523809524,94.57666666666667,3.7133333333333334,0.12833333333333335
78,2025-06-20 00:00:00+00:00,20.858333333333334,29.12222222222222,67.75763888888889,2.1480555555555556,23.96666666666667,44.0,99.53333333333335,6.326666666666667,17.2,17.3,31.099999999999998,0.01,35.68571428571428,19.933333333333334,48.42857142857143,94.81833333333334,3.5864285714285713,0.13433333333333333
79,2025-06-21 00:00:00+00:00,19.822222222222223,26.99722222222222,71.70486111111111,1.6755555555555555,22.333333333333332,42.6,100.0,5.890000000000001,17.166666666666668,18.5,30.366666666666664,0.0,32.278571428571425,19.60333333333333,52.91666666666667,98.00833333333334,2.8388095238095237,0.047
80,2025-06-22 00:00:00+00:00,19.259722222222223,28.429166666666664,64.85277777777777,2.234722222222222,22.400000000000002,43.36666666666667,100.0,6.2,15.799999999999999,15.799999999999999,29.666666666666668,0.0,35.74285714285714,18.19,43.65952380952381,94.52333333333334,3.738809523809524,0.129
81,2025-06-23 00:00:00+00:00,19.735416666666666,29.172916666666666,63.208333333333336,2.330208333333333,23.566666666666666,43.366666666666674,98.53333333333335,5.98,16.366666666666664,16.599999999999998,32.1,0.02666666666666667,35.973333333333336,17.83888888888889,44.163333333333334,94.95,3.6556666666666664,0.12111111111111111
