waterTension;batteryLevel;batteryValue;receivedAt;device;providerDeviceId
6;100;3528;2024-07-02T19:51:59.540517037Z;1038;santorsola-tensio-5
6;100;3528;2024-07-02T20:11:59.493406137Z;1038;santorsola-tensio-5
6;100;3526;2024-07-02T20:31:59.433914494Z;1038;santorsola-tensio-5
6;100;3525;2024-07-02T20:51:59.366627659Z;1038;santorsola-tensio-5
6;100;3525;2024-07-02T21:11:59.297460330Z;1038;santorsola-tensio-5
7;100;3523;2024-07-02T21:31:59.234208189Z;1038;santorsola-tensio-5
6;100;3523;2024-07-02T21:51:59.182348157Z;1038;santorsola-tensio-5
6;100;3521;2024-07-02T22:11:59.110917138Z;1038;santorsola-tensio-5
6;100;3521;2024-07-02T22:31:59.062725195Z;1038;santorsola-tensio-5
6;100;3519;2024-07-02T22:51:58.991073910Z;1038;santorsola-tensio-5
6;100;3519;2024-07-02T23:11:58.932575119Z;1038;santorsola-tensio-5
5;100;3519;2024-07-02T23:31:58.870592629Z;1038;santorsola-tensio-5
5;100;3518;2024-07-02T23:51:58.813067886Z;1038;santorsola-tensio-5
5;100;3518;2024-07-03T00:11:58.750009184Z;1038;santorsola-tensio-5
6;100;3516;2024-07-03T00:31:58.685771338Z;1038;santorsola-tensio-5
6;100;3516;2024-07-03T00:51:58.619114432Z;1038;santorsola-tensio-5
5;100;3514;2024-07-03T01:11:58.552196267Z;1038;santorsola-tensio-5
5;100;3514;2024-07-03T01:31:58.487298718Z;1038;santorsola-tensio-5
5;100;3512;2024-07-03T01:51:58.427163495Z;1038;santorsola-tensio-5
5;100;3512;2024-07-03T02:11:58.368023788Z;1038;santorsola-tensio-5
5;100;3510;2024-07-03T02:31:58.302938485Z;1038;santorsola-tensio-5
5;100;3510;2024-07-03T02:51:58.240567779Z;1038;santorsola-tensio-5
5;100;3509;2024-07-03T03:11:58.180994279Z;1038;santorsola-tensio-5
6;100;3509;2024-07-03T03:31:58.110511957Z;1038;santorsola-tensio-5
5;100;3509;2024-07-03T03:51:58.052329950Z;1038;santorsola-tensio-5
5;100;3507;2024-07-03T04:11:57.979857185Z;1038;santorsola-tensio-5
6;100;3507;2024-07-03T04:31:57.927523396Z;1038;santorsola-tensio-5
5;100;3505;2024-07-03T04:51:57.857086567Z;1038;santorsola-tensio-5
5;100;3505;2024-07-03T05:11:57.795318349Z;1038;santorsola-tensio-5
5;100;3505;2024-07-03T05:31:57.724453204Z;1038;santorsola-tensio-5
5;100;3505;2024-07-03T05:51:57.665590674Z;1038;santorsola-tensio-5
5;100;3503;2024-07-03T06:11:57.606322746Z;1038;santorsola-tensio-5
5;100;3503;2024-07-03T06:31:57.548065670Z;1038;santorsola-tensio-5
5;100;3516;2024-07-03T06:51:57.490208368Z;1038;santorsola-tensio-5
5;100;3532;2024-07-03T07:11:57.423021853Z;1038;santorsola-tensio-5
5;100;3539;2024-07-03T07:31:57.353979705Z;1038;santorsola-tensio-5
6;100;3540;2024-07-03T07:51:57.307535549Z;1038;santorsola-tensio-5
5;100;3542;2024-07-03T08:11:57.244064532Z;1038;santorsola-tensio-5
6;100;3542;2024-07-03T08:31:57.246446384Z;1038;santorsola-tensio-5
5;100;3540;2024-07-03T08:51:57.162805086Z;1038;santorsola-tensio-5
6;100;3539;2024-07-03T09:11:57.081451622Z;1038;santorsola-tensio-5
